"genus_species","population_id","lifespan_days","season_when_away_100km_start","season_when_away_100km_stop","season_inactive_start","season_inactive_stop","latitude","longitude","realm_general2","maximum_body_size_svl_hbl_cm"
"Galaxias maculatus","Galaxias maculatus_-35.15_0","1825","0.625","0.792","none","none",-35.15,173.68,"Freshwater","19"
"Gambusia affinis","Gambusia affinis_32.874_NA","1095","","","none","none",32.874,-110.809,"Freshwater","5.1"
"Gasterosteus aculeatus","Gasterosteus aculeatus_37.327481_NA","2920","0.208","0.292","none","none",37.327481,-113.705435,"Freshwater","11"
"Ictalurus punctatus","Ictalurus punctatus_41.03_NA","8760","","","none","none",41.03,-75.47,"Freshwater","132"
"Ictalurus punctatus","Ictalurus punctatus_42.08_NA","8760","","","none","none",42.08,-81.34,"Freshwater","132"
"Lepomis cyanellus","Lepomis cyanellus_35.57_NA","3285","","","none","none",35.57,-97.63,"Freshwater","31"
"Lepomis cyanellus","Lepomis cyanellus_32.874_NA","3285","","","none","none",32.874,-110.809,"Freshwater","31"
"Lithobates pipiens","Lithobates pipiens_10_1554.48","3285","","","0.958","0.958",10,-83.788,"Terrestrial","16.5"
"Lithobates pipiens","Lithobates pipiens_17_2011.68","3285","","","0.958","0.958",17,-92.647,"Terrestrial","16.5"
"Lithobates pipiens","Lithobates pipiens_43.6805335_NA","3285","","","0.958","0.958",43.6805335,-90.082397,"Terrestrial","16.5"
"Lithobates pipiens","Lithobates pipiens_45_304.8","3285","","","0.958","0.958",45,-89.646,"Terrestrial","16.5"
"Lithobates sylvaticus","Lithobates sylvaticus_37.56_326","1898","","","0.958","0.958",37.56,-84.3,"Terrestrial","8.3"
"Lithobates sylvaticus","Lithobates sylvaticus_38.2_43","1898","","","0.958","0.958",38.2,-76.85,"Terrestrial","8.3"
"Litoria peronii","Litoria peronii_-27.553_NA","unk","","","none","none",-27.553,153.056,"Terrestrial","5.57"
"Luxilus cornutus","Luxilus cornutus_40.79_NA","2190","","","none","none",40.79,-73.91,"Freshwater","18"
"Meda fulgida","Meda fulgida_32.874_NA","730","","","none","none",32.874,-110.809,"Freshwater","9.1"
"Micropterus salmoides","Micropterus salmoides_42.08_NA","8395","","","0.708 and 0.958","0.708 and 0.958",42.08,-81.34,"Freshwater","97"
"Micropterus salmoides","Micropterus salmoides_32.874_NA","8395","","","0.708 and 0.958","0.708 and 0.958",32.874,-110.809,"Freshwater","97"
"Lithobates sylvaticus","Lithobates sylvaticus_38.8_250","1898","","","0.958","0.958",38.8,-83.4,"Terrestrial","8.3"
"Neobatrachus pictus","Neobatrachus pictus_-34.929_NA","unk","","","0.958","0.958",-34.929,138.6,"Terrestrial","5"
"Notropis atherinoides","Notropis atherinoides_34.95_NA","1825","","","none","none",34.95,-92.49,"Freshwater","13"
"Notropis hudsonius","Notropis hudsonius_41.24_NA","1825","","","none","none",41.24,-73.92,"Freshwater","15"
"Notropis hudsonius","Notropis hudsonius_42.08_NA","1825","","","none","none",42.08,-81.34,"Freshwater","15"
"Odontophrynus occidentalis","Odontophrynus occidentalis_-31.701_NA","unk","","","","",-31.701,-68.095,"Terrestrial","2.87"
"Osmerus mordax","Osmerus mordax_51.51_NA","2555","0.292","0.458","none","none",51.51,-86.68,"Freshwater","35.6"
"Lithobates sylvaticus","Lithobates sylvaticus_42.75_262","1898","","","0.958","0.958",42.75,-86.21,"Terrestrial","8.3"
"Lithobates sylvaticus","Lithobates sylvaticus_42.8_67","1898","","","0.958","0.958",42.8,-73.85,"Terrestrial","8.3"
"Pseudacris triseriata","Pseudacris triseriata_39.11_2121","1825","","","0.958","0.958",39.11,-105.36,"Terrestrial","3.9"
"Perca flavescens","Perca flavescens_42.08_NA","4015","","","none","none",42.08,-81.34,"Freshwater","50"
"Pimephales notatus","Pimephales notatus_39.490383_NA","2920","","","none","none",39.490383,-84.325019,"Freshwater","11"
"Pimephales notatus","Pimephales notatus_39.53_NA","2920","","","none","none",39.53,-76.77,"Freshwater","11"
"Pimephales notatus","Pimephales notatus_42.08_NA","2920","","","none","none",42.08,-81.34,"Freshwater","11"
"Plethodon cinereus","Plethodon cinereus_37.375_NA","9125","","","none","none",37.375,-80.523,"Terrestrial","41.2"
"Plethodon cinereus","Plethodon cinereus_39.953_NA","9125","","","none","none",39.953,-75.443,"Terrestrial","41.2"
"Plethodon jordani","Plethodon jordani_35.113_NA","7227","","","0.958","0.958",35.113,-84.059,"Terrestrial","18.4"
"Plethodon jordani","Plethodon jordani_35.12_NA","7227","","","0.958","0.958",35.12,-83.336,"Terrestrial","18.4"
"Plethodon jordani","Plethodon jordani_35.219_NA","7227","","","0.958","0.958",35.219,-82.778,"Terrestrial","18.4"
"Plethodon jordani","Plethodon jordani_35.827_NA","7227","","","0.958","0.958",35.827,-83.507,"Terrestrial","18.4"
"Plethodon jordani","Plethodon jordani_36.09_NA","7227","","","0.958","0.958",36.09,-81.836,"Terrestrial","18.4"
"Pomoxis annularis","Pomoxis annularis_39.4_NA","3650","","","none","none",39.4,-106.51,"Freshwater","53"
"Pomoxis annularis","Pomoxis annularis_42.08_NA","3650","","","none","none",42.08,-81.34,"Freshwater","53"
"Pomoxis nigromaculatus","Pomoxis nigromaculatus_42.08_NA","5475","","","none","none",42.08,-81.34,"Freshwater","49"
"Pseudacris crucifer","Pseudacris crucifer_39.965_NA","1825","","","0.958","0.958",39.965,-74.312,"Terrestrial","3.7"
"Pseudacris triseriata","Pseudacris triseriata_39.84_2359","1825","","","0.958","0.958",39.84,-105.1,"Terrestrial","3.9"
"Pseudacris triseriata","Pseudacris triseriata_40.62_1542","1825","","","0.958","0.958",40.62,-105.14,"Terrestrial","3.9"
"Pseudacris triseriata","Pseudacris triseriata_40.529_NA","1825","","","0.958","0.958",40.529,-74.64,"Terrestrial","3.9"
"Pseudacris triseriata","Pseudacris triseriata_40.68_2207","1825","","","0.958","0.958",40.68,-105.39,"Terrestrial","3.9"
"Pseudacris triseriata","Pseudacris triseriata_41.26_1547","1825","","","0.958","0.958",41.26,-111.79,"Terrestrial","3.9"
"Pseudacris triseriata","Pseudacris triseriata_40.696_NA","1825","","","0.958","0.958",40.696,-105.594,"Terrestrial","3.9"
"Pseudacris triseriata","Pseudacris triseriata_42.779_NA","1825","","","0.958","0.958",42.779,-96.929,"Terrestrial","3.9"
"Pseudophryne bibronii","Pseudophryne bibronii_-27.553_NA","2190","","","0.458","0.458",-27.553,153.056,"Terrestrial","3.6"
"Rhinella granulosa","Rhinella granulosa_-5.658_NA","unk","","","none","none",-5.658,-36.61,"Terrestrial","9"
"Rhinella marina","Rhinella marina_5.838385_NA","9052","","","0.458 and 0.958","0.458 and 0.958",5.838385,-75.2233885,"Terrestrial","24.1"
"Rhinella marina","Rhinella marina_9_304.8","9052","","","0.458 and 0.958","0.458 and 0.958",9,-79.846,"Terrestrial","24.1"
"Rhinella marina","Rhinella marina_17.706_NA","9052","","","0.458 and 0.958","0.458 and 0.958",17.706,-64.859,"Terrestrial","24.1"
"Rhinichthys atratulus","Rhinichthys atratulus_42.86_NA","1460","","","none","none",42.86,-78.83,"Freshwater","12.4"
"Rhinichthys cobitis","Rhinichthys cobitis_32.874_NA","1825","","","none","none",32.874,-110.809,"Freshwater","6"
"Salmo trutta","Salmo trutta_33.99_NA","13870","","","none","none",33.99,-110.15,"Freshwater","140"
"Salvelinus fontinalis","Salvelinus fontinalis_33.99_NA","8760","","","none","none",33.99,-110.15,"Freshwater","86"
"Salvelinus namaycush","Salvelinus namaycush_45.73_NA","18250","0.708","0.708","none","none",45.73,-78.4,"Freshwater","150"
"Salvelinus namaycush","Salvelinus namaycush_45.76_NA","18250","0.708","0.708","none","none",45.76,-81.96,"Freshwater","150"
"Salvelinus namaycush","Salvelinus namaycush_48.17_NA","18250","0.708","0.708","none","none",48.17,-91.3,"Freshwater","150"
"Salvelinus namaycush","Salvelinus namaycush_48.44_NA","18250","0.708","0.708","none","none",48.44,-90.73,"Freshwater","150"
"Salvelinus namaycush","Salvelinus namaycush_51.26_NA","18250","0.708","0.708","none","none",51.26,-115.37,"Freshwater","150"
"Sander vitreus","Sander vitreus_42.08_NA","10585","0.208","0.208","none","none",42.08,-81.34,"Freshwater","107"
"Semotilus atromaculatus","Semotilus atromaculatus_38.32_NA","2920","","","none","none",38.32,-92.54,"Freshwater","30.3"
"Galaxias fasciatus","Galaxias fasciatus_-38.4_0","2555","","","none","none",-38.4,175.71,"Freshwater","30"
"Ambystoma jeffersonianum","Ambystoma jeffersonianum_39.289_NA","2190","","","0.458 and 0.958","0.458 and 0.958",39.289,-86.773,"Terrestrial","21"
"Ambystoma jeffersonianum","Ambystoma jeffersonianum_39.424_NA","2190","","","0.458 and 0.958","0.458 and 0.958",39.424,-84.186,"Terrestrial","21"
"Ambystoma jeffersonianum","Ambystoma jeffersonianum_40.203_NA","2190","","","0.458 and 0.958","0.458 and 0.958",40.203,-77.195,"Terrestrial","21"
"Ambystoma jeffersonianum","Ambystoma jeffersonianum_47.165_NA","2190","","","0.458 and 0.958","0.458 and 0.958",47.165,-95.197,"Terrestrial","21"
"Ambystoma maculatum","Ambystoma maculatum_35.994_NA","11680","","","0.458 and 0.958","0.458 and 0.958",35.994,-78.899,"Terrestrial","24.8"
"Ambystoma maculatum","Ambystoma maculatum_36.022_NA","11680","","","0.458 and 0.958","0.458 and 0.958",36.022,-78.903,"Terrestrial","24.8"
"Ambystoma maculatum","Ambystoma maculatum_36.026_NA","11680","","","0.458 and 0.958","0.458 and 0.958",36.026,-79.11,"Terrestrial","24.8"
"Ambystoma maculatum","Ambystoma maculatum_40.203_NA","11680","","","0.458 and 0.958","0.458 and 0.958",40.203,-77.195,"Terrestrial","24.8"
"Ambystoma tigrinum","Ambystoma tigrinum_32.32_NA","9125","","","0.958","0.958",32.32,-106.764,"Terrestrial","33"
"Ambystoma tigrinum","Ambystoma tigrinum_33.126_NA","9125","","","0.958","0.958",33.126,-105.752,"Terrestrial","33"
"Ambystoma tigrinum","Ambystoma tigrinum_37.722_NA","9125","","","0.958","0.958",37.722,-89.323,"Terrestrial","33"
"Ascaphus truei","Ascaphus truei_46.989_NA","5110","","","none","none",46.989,-114.015,"Terrestrial","5"
"Crinia parinsignifera","Crinia parinsignifera_-37_304.8","unk","","","none","none",-37,145.887,"Terrestrial","2"
"Crinia parinsignifera","Crinia parinsignifera_-32_304.8","unk","","","none","none",-32,147.196,"Terrestrial","2"
"Crinia signifera","Crinia signifera_-43_304.8","2555","","","none","none",-43,147.371,"Terrestrial","3"
"Crinia signifera","Crinia signifera_-38_304.8","2555","","","none","none",-38,148.174,"Terrestrial","3"
"Crinia signifera","Crinia signifera_-38_304.8","2555","","","none","none",-38,142.518,"Terrestrial","3"
"Crinia signifera","Crinia signifera_-38_304.8","2555","","","none","none",-38,145.245,"Terrestrial","3"
"Crinia signifera","Crinia signifera_-38_304.8","2555","","","none","none",-38,148.206,"Terrestrial","3"
"Crinia signifera","Crinia signifera_-37_1905","2555","","","none","none",-37,148.264,"Terrestrial","3"
"Crinia signifera","Crinia signifera_-34_304.8","2555","","","none","none",-34,151.342,"Terrestrial","3"
"Crinia signifera","Crinia signifera_-31_762","2555","","","none","none",-31,151.667,"Terrestrial","3"
"Crinia signifera","Crinia signifera_-27.559_NA","2555","","","none","none",-27.559,152.276,"Terrestrial","3"
"Geocrinia victoriana","Geocrinia victoriana_-38_304.8","unk","","","","",-38,146.267,"Terrestrial","3.5"
"Geocrinia victoriana","Geocrinia victoriana_-37_304.8","unk","","","","",-37,144.284,"Terrestrial","3.5"
"Hyperolius viridiflavus","Hyperolius viridiflavus_4.7816485_NA","365","","","0.458","0.458",4.7816485,30.3826905,"Terrestrial","3.4"
"Hyperolius viridiflavus","Hyperolius viridiflavus_7.54_NA","365","","","0.458","0.458",7.54,-5.547,"Terrestrial","3.4"
"Limnodynastes dorsalis","Limnodynastes dorsalis_-39_304.8","unk","","","0.958","0.958",-39,146.333,"Terrestrial","7.3"
"Limnodynastes dorsalis","Limnodynastes dorsalis_-37.064_NA","unk","","","0.958","0.958",-37.064,144.217,"Terrestrial","7.3"
"Limnodynastes dorsalis","Limnodynastes dorsalis_-31_609.6","unk","","","0.958","0.958",-31,150.931,"Terrestrial","7.3"
"Limnodynastes dorsalis","Limnodynastes dorsalis_-27.372_NA","unk","","","0.958","0.958",-27.372,152.867,"Terrestrial","7.3"
"Limnodynastes peronii","Limnodynastes peronii_-34.012_NA","unk","","","","",-34.012,151.094,"Terrestrial","7.28"
"Limnodynastes peronii","Limnodynastes peronii_-34_304.8","unk","","","","",-34,151.342,"Terrestrial","7.28"
"Limnodynastes peronii","Limnodynastes peronii_-27.553_NA","unk","","","","",-27.553,153.056,"Terrestrial","7.28"
"Limnodynastes peronii","Limnodynastes peronii_-18_304.8","unk","","","","",-18,145.924,"Terrestrial","7.28"
"Limnodynastes salmini","Limnodynastes salmini_-34_762","unk","","","0.958","0.958",-34,151.342,"Terrestrial","7.5"
"Limnodynastes salmini","Limnodynastes salmini_-27.553_NA","unk","","","0.958","0.958",-27.553,153.056,"Terrestrial","7.5"
"Limnodynastes tasmaniensis","Limnodynastes tasmaniensis_-38_304.8","2190","","","none","none",-38,142.518,"Terrestrial","5.05"
"Limnodynastes tasmaniensis","Limnodynastes tasmaniensis_-37_304.8","2190","","","none","none",-37,145.887,"Terrestrial","5.05"
"Limnodynastes tasmaniensis","Limnodynastes tasmaniensis_-34.929_NA","2190","","","none","none",-34.929,138.6,"Terrestrial","5.05"
"Lithobates pipiens","Lithobates pipiens_43.78444_NA","3285","","","0.958","0.958",43.78444,-88.787868,"Terrestrial","16.5"
"Lithobates sylvaticus","Lithobates sylvaticus_35.053_NA","1898","","","0.958","0.958",35.053,-83.197,"Terrestrial","8.3"
"Lithobates sylvaticus","Lithobates sylvaticus_39.435_NA","1898","","","0.958","0.958",39.435,-84.203,"Terrestrial","8.3"
"Lithobates sylvaticus","Lithobates sylvaticus_42.75_262","1898","","","0.958","0.958",42.75,-83.217,"Terrestrial","8.3"
"Lithobates sylvaticus","Lithobates sylvaticus_47.165_NA","1898","","","0.958","0.958",47.165,-95.197,"Terrestrial","8.3"
"Lithobates sylvaticus","Lithobates sylvaticus_52_304.8","1898","","","0.958","0.958",52,-121.587,"Terrestrial","8.3"
"Litoria bicolor","Litoria bicolor_-18_304.8","unk","","","none","none",-18,145.924,"Terrestrial","3"
"Litoria bicolor","Litoria bicolor_-12.372179_NA","unk","","","none","none",-12.372179,130.868867,"Terrestrial","3"
"Ranoidea caerulea","Ranoidea caerulea_-27.471_NA","7300","","","0.958","0.958",-27.471,153.023,"Terrestrial","10"
"Ranoidea caerulea","Ranoidea caerulea_-27.372_NA","7300","","","0.958","0.958",-27.372,152.867,"Terrestrial","10"
"Ranoidea caerulea","Ranoidea caerulea_-20.401_NA","7300","","","0.958","0.958",-20.401,148.58,"Terrestrial","10"
"Ranoidea caerulea","Ranoidea caerulea_-12.372179_NA","7300","","","0.958","0.958",-12.372179,130.868867,"Terrestrial","10"
"Litoria ewingii","Litoria ewingii_-38_304.8","unk","","","0.458","0.458",-38,142.518,"Terrestrial","5"
"Litoria ewingii","Litoria ewingii_-37_304.8","unk","","","0.458","0.458",-37,145.887,"Terrestrial","5"
"Litoria ewingii","Litoria ewingii_-34_304.8","unk","","","0.458","0.458",-34,151.342,"Terrestrial","5"
"Litoria fallax","Litoria fallax_-34_304.8","unk","","","none","none",-34,151.342,"Terrestrial","3"
"Litoria fallax","Litoria fallax_-27.553_NA","unk","","","none","none",-27.553,153.056,"Terrestrial","2.5"
"Litoria fallax","Litoria fallax_-20_304.8","unk","","","none","none",-20,146.818,"Terrestrial","3"
"Litoria fallax","Litoria fallax_-18_304.8","unk","","","none","none",-18,145.924,"Terrestrial","3"
"Litoria freycineti","Litoria freycineti_-34_304.8","unk","","","","",-34,151.342,"Terrestrial","4.9"
"Litoria freycineti","Litoria freycineti_-26.858_NA","unk","","","","",-26.858,152.958,"Terrestrial","4.9"
"Litoria peronii","Litoria peronii_-38_304.8","unk","","","none","none",-38,148.174,"Terrestrial","5.57"
"Litoria peronii","Litoria peronii_-34_304.8","unk","","","none","none",-34,151.342,"Terrestrial","5.57"
"Litoria peronii","Litoria peronii_-31_731.52","unk","","","none","none",-31,151.667,"Terrestrial","5.57"
"Litoria rothii","Litoria rothii_-21_304.8","unk","","","none","none",-21,148.246,"Terrestrial","5.5"
"Litoria rothii","Litoria rothii_-18_304.8","unk","","","none","none",-18,145.924,"Terrestrial","5.5"
"Litoria rothii","Litoria rothii_-12.372179_NA","unk","","","none","none",-12.372179,130.868867,"Terrestrial","5.5"
"Litoria rubella","Litoria rubella_-27.559_NA","unk","","","none","none",-27.559,152.276,"Terrestrial","3.5"
"Litoria rubella","Litoria rubella_-21_304.8","unk","","","none","none",-21,148.246,"Terrestrial","3.5"
"Litoria rubella","Litoria rubella_-20_304.8","unk","","","none","none",-20,146.818,"Terrestrial","3.5"
"Litoria rubella","Litoria rubella_-18_731.52","unk","","","none","none",-18,145.476,"Terrestrial","3.5"
"Litoria rubella","Litoria rubella_-18_304.8","unk","","","none","none",-18,145.924,"Terrestrial","3.5"
"Litoria rubella","Litoria rubella_-12.372179_NA","unk","","","none","none",-12.372179,130.868867,"Terrestrial","3.5"
"Litoria verreauxii","Litoria verreauxii_-38_304.8","2555","","","none","none",-38,148.174,"Terrestrial","3"
"Litoria verreauxii","Litoria verreauxii_-38_926.64","2555","","","none","none",-38,146.267,"Terrestrial","3"
"Litoria verreauxii","Litoria verreauxii_-37_1981.2","2555","","","none","none",-37,148.264,"Terrestrial","3"
"Litoria verreauxii","Litoria verreauxii_-37_1767.84","2555","","","none","none",-37,148.646,"Terrestrial","3"
"Mixophyes fasciolatus","Mixophyes fasciolatus_-34_304.8","1934.5","","","none","none",-34,151.342,"Terrestrial","9.7"
"Mixophyes fasciolatus","Mixophyes fasciolatus_-27.334_NA","1934.5","","","none","none",-27.334,152.768,"Terrestrial","9.7"
"Notophthalmus viridescens","Notophthalmus viridescens_34.028_NA","5475","","","0.458 and 0.958","0.458 and 0.958",34.028,-78.202,"Terrestrial","14"
"Notophthalmus viridescens","Notophthalmus viridescens_35.255_NA","5475","","","0.458 and 0.958","0.458 and 0.958",35.255,-97.352,"Terrestrial","14"
"Notophthalmus viridescens","Notophthalmus viridescens_35.317_NA","5475","","","0.458 and 0.958","0.458 and 0.958",35.317,-83.209,"Terrestrial","14"
"Notophthalmus viridescens","Notophthalmus viridescens_36.026_NA","5475","","","0.458 and 0.958","0.458 and 0.958",36.026,-79.11,"Terrestrial","14"
"Notophthalmus viridescens","Notophthalmus viridescens_36.074_NA","5475","","","0.458 and 0.958","0.458 and 0.958",36.074,-78.243,"Terrestrial","14"
"Notophthalmus viridescens","Notophthalmus viridescens_36.494_NA","5475","","","0.458 and 0.958","0.458 and 0.958",36.494,-81.12,"Terrestrial","14"
"Notophthalmus viridescens","Notophthalmus viridescens_37.313_NA","5475","","","0.458 and 0.958","0.458 and 0.958",37.313,-80.677,"Terrestrial","14"
"Notophthalmus viridescens","Notophthalmus viridescens_37.375_NA","5475","","","0.458 and 0.958","0.458 and 0.958",37.375,-80.523,"Terrestrial","14"
"Notophthalmus viridescens","Notophthalmus viridescens_37.788_NA","5475","","","0.458 and 0.958","0.458 and 0.958",37.788,-81.953,"Terrestrial","14"
"Notophthalmus viridescens","Notophthalmus viridescens_37.9510375_NA","5475","","","0.458 and 0.958","0.458 and 0.958",37.9510375,-79.0576175,"Terrestrial","14"
"Notophthalmus viridescens","Notophthalmus viridescens_41.129_NA","5475","","","0.458 and 0.958","0.458 and 0.958",41.129,-74.687,"Terrestrial","14"
"Notophthalmus viridescens","Notophthalmus viridescens_42.117_NA","5475","","","0.458 and 0.958","0.458 and 0.958",42.117,-72.662,"Terrestrial","14"
"Notophthalmus viridescens","Notophthalmus viridescens_42.69_NA","5475","","","0.458 and 0.958","0.458 and 0.958",42.69,-73.29,"Terrestrial","14"
"Notophthalmus viridescens","Notophthalmus viridescens_46.312_NA","5475","","","0.458 and 0.958","0.458 and 0.958",46.312,-84.593,"Terrestrial","14"
"Notophthalmus viridescens","Notophthalmus viridescens_51.254_NA","5475","","","0.458 and 0.958","0.458 and 0.958",51.254,-85.323,"Terrestrial","14"
"Pseudacris crucifer","Pseudacris crucifer_47.165_NA","1825","","","0.958","0.958",47.165,-95.197,"Terrestrial","3.7"
"Pseudophryne bibronii","Pseudophryne bibronii_-37_304.8","2190","","","0.458","0.458",-37,145.887,"Terrestrial","3.6"
"Pseudophryne bibronii","Pseudophryne bibronii_-34_304.8","2190","","","0.458","0.458",-34,151.342,"Terrestrial","3.6"
"Ranoidea brevipes","Ranoidea brevipes_-21_304.8","unk","","","0.958","0.958",-21,148.246,"Terrestrial","4.5"
"Ranoidea brevipes","Ranoidea brevipes_-20_304.8","unk","","","0.958","0.958",-20,146.818,"Terrestrial","4.5"
"Ranoidea caerulea","Ranoidea caerulea_-34_304.8","7300","","","0.958","0.958",-34,151.342,"Terrestrial","10"
"Ranoidea caerulea","Ranoidea caerulea_-21_304.8","7300","","","0.958","0.958",-21,148.246,"Terrestrial","10"
"Ranoidea caerulea","Ranoidea caerulea_-20_304.8","7300","","","0.958","0.958",-20,146.818,"Terrestrial","10"
"Ranoidea chloris","Ranoidea chloris_-18_731.52","2190","","","","",-18,145.476,"Terrestrial","7"
"Ranoidea chloris","Ranoidea chloris_-17_304.8","2190","","","","",-17,145.771,"Terrestrial","7"
"Ranoidea gracilenta","Ranoidea gracilenta_-27.553_NA","unk","","","none","none",-27.553,153.056,"Terrestrial","5"
"Ranoidea gracilenta","Ranoidea gracilenta_-18_731.52","unk","","","none","none",-18,145.476,"Terrestrial","5"
"Ranoidea gracilenta","Ranoidea gracilenta_-17_304.8","unk","","","none","none",-17,145.771,"Terrestrial","5"
"Ranoidea lesueurii","Ranoidea lesueurii_-38_304.8","2555","","","","",-38,148.206,"Terrestrial","7"
"Ranoidea lesueurii","Ranoidea lesueurii_-27.372_NA","2555","","","","",-27.372,152.867,"Terrestrial","7"
"Ranoidea lesueurii","Ranoidea lesueurii_-17_304.8","2555","","","","",-17,145.771,"Terrestrial","7"
"Ranoidea lesueurii","Ranoidea lesueurii_-38_304.8","2555","","","","",-38,148.174,"Terrestrial","7"
"Ranoidea phyllochroa","Ranoidea phyllochroa_-38_304.8","unk","","","","",-38,148.174,"Terrestrial","4"
"Ranoidea phyllochroa","Ranoidea phyllochroa_-38_304.8","unk","","","","",-38,148.206,"Terrestrial","4"
"Ranoidea phyllochroa","Ranoidea phyllochroa_-34_304.8","unk","","","","",-34,151.342,"Terrestrial","4"
"Spea hammondii","Spea hammondii_31_304.8","kunk","","","0.458","0.458",31,-110.331,"Terrestrial","6.1"
"Spea hammondii","Spea hammondii_34_304.8","kunk","","","0.458","0.458",34,-117.689,"Terrestrial","6.1"
"Necturus maculosus","Necturus maculosus_40.4070065_NA","12410","","","none","none",40.4070065,-84.204712,"Terrestrial","48.6"
"Necturus maculosus","Necturus maculosus_45.442_NA","12410","","","none","none",45.442,-90.128,"Terrestrial","48.6"
"Atractosteus spatula","Atractosteus spatula_29.728724_NA","18250","","","none","none",29.728724,-92.818166,"Freshwater","300"
"Atractosteus spatula","Atractosteus spatula_31.35786_NA","18250","","","none","none",31.35786,-91.41895,"Freshwater","300"
"Atractosteus spatula","Atractosteus spatula_35.10124_NA","18250","","","none","none",35.10124,-92.76766,"Freshwater","300"
"Orchesella cincta","Orchesella cincta_43.316667_NA","unk","","","none","none",43.316667,11.316667,"Terrestrial","0.4"
"Orchesella cincta","Orchesella cincta_44.533333_NA","unk","","","none","none",44.533333,6.266667,"Terrestrial","0.4"
"Orchesella cincta","Orchesella cincta_50.066667_NA","unk","","","none","none",50.066667,8.683333,"Terrestrial","0.4"
"Orchesella cincta","Orchesella cincta_52.316667_NA","unk","","","none","none",52.316667,9.916667,"Terrestrial","0.4"
"Orchesella cincta","Orchesella cincta_53.716667_NA","unk","","","none","none",53.716667,9.966667,"Terrestrial","0.4"
"Orchesella cincta","Orchesella cincta_56.366667_NA","unk","","","none","none",56.366667,9.933333,"Terrestrial","0.4"
"Orchesella cincta","Orchesella cincta_57.720921_NA","unk","","","none","none",57.720921,10.58388,"Terrestrial","0.4"
"Rhinella spinulosa","Rhinella spinulosa_-37.329809_NA","unk","","","none","none",-37.329809,-71.674241,"Terrestrial","8"
"Rhinella spinulosa","Rhinella spinulosa_-33.350796_NA","unk","","","none","none",-33.350796,-70.312941,"Terrestrial","8"
"Rhinella spinulosa","Rhinella spinulosa_-22.911299_NA","unk","","","none","none",-22.911299,-68.202479,"Terrestrial","8"
"Acipenser brevirostrum","Acipenser brevirostrum_32.89_NA","24455","0.208","0.708","none","none",32.89,-84.67,"Freshwater","143"
"Ameiurus melas","Ameiurus melas_38.34_NA","3650","","","none","none",38.34,-90.37,"Freshwater","66"
"Carassius carassius","Carassius carassius_52.34_NA","3650","","","0.458 and 0.958","0.458 and 0.958",52.34,18.35,"Freshwater","64"
"Catostomus commersonii","Catostomus commersonii_46.78_NA","6205","","","none","none",46.78,-94.7,"Freshwater","65"
"Catostomus commersonii","Catostomus commersonii_54.61_NA","6205","","","none","none",54.61,-124.91,"Freshwater","65"
"Coregonus clupeaformis","Coregonus clupeaformis_45.05_NA","18250","","","none","none",45.05,-82.5,"Freshwater","100"
"Coregonus clupeaformis","Coregonus clupeaformis_45.29_NA","18250","","","none","none",45.29,-82.12,"Freshwater","100"
"Ctenopharyngodon idella","Ctenopharyngodon idella_34.95_NA","7665","","","none","none",34.95,-92.49,"Freshwater","150"
"Cyprinella spiloptera","Cyprinella spiloptera_36.94_NA","1825","","","none","none",36.94,-81.05,"Freshwater","12"
"Cyprinus carpio","Cyprinus carpio_48.96_NA","13870","","","none","none",48.96,16.55,"Freshwater","120"
"Cyprinus carpio","Cyprinus carpio_52.34_NA","13870","","","none","none",52.34,18.35,"Freshwater","120"
"Cyprinus carpio","Cyprinus carpio_55.71_NA","13870","","","none","none",55.71,37.57,"Freshwater","120"
"Cyprinus carpio","Cyprinus carpio_58.44_NA","13870","","","none","none",58.44,38.42,"Freshwater","120"
"Dicentrarchus labrax","Dicentrarchus labrax_36.76_NA","10950","0.708","0.958","none","none",36.76,35.71,"Freshwater","103"
"Dorosoma cepedianum","Dorosoma cepedianum_38.34_NA","2190","","","none","none",38.34,-90.37,"Freshwater","57"
