"genus","species","age_maturity_days_female","age_maturity_days_female_reference","age_maturity_days_male","age_maturity_days_male_reference","age_maturity.days_unknown_sex","dispersal_distance_category","logic_source_for_dispersal_distance","dispersal_distance2_category","logic_source_for_dispersal_distance2","maximum_body_size_svl_hbl_cm","source_for_maximum_body_size","average_body_size_female","average_body_size_female_reference","average_body_size_male","average_body_size_male_reference","average_body_size_unknown_sex","season_inactive","logic_source_for_season_inactive","migratory","source_logic_for_migration_info","season_when_away_10km...migratory.only.","season_when_away_100km...migratory.only.","logic_source_season_when_away","Home.range.size_Km2","logic.source_for_Home.range.size","data_gatherer","lifespan_days","lifespan_days_reference"
"Sander","vitreus","1095","NatureServe, 2020","730","NatureServe, 2020","","100+","Hayden et al., 2018;Kirby et al., 2017;Backhouse-James & Docker, 2012; NatureServe, 2020",NA,NA,"107","Froese & Pauly, 2000","54","Froese & Pauly, 2000","54","Froese & Pauly, 2000","Y","","","migratory","IUCN, 2020","spring","spring","NatureServe, 2020","0.679-3","Kirby et al., 2017","Nikki","10585","Froese & Pauly, 2000"
"Heterandria","formosa","44","Ala-Honkola et al., 2011","95","Ala-Honkola et al., 2011","","100+","Baer, 1998;Leips et al., 2013",NA,NA,"3.6","Froese & Pauly, 2000","2.1","Froese & Pauly, 2000","2.1","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","120","Soucy & Travis, 2003"
"Abudefduf","saxatilis","1825","Bessa et al., 2007","1825","Bessa et al., 2007","Y","10-100","Wellington & Victor, 1989",NA,NA,"22.9","Froese & Pauly, 2000","15","Froese & Pauly, 2000","15","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","1825","Sergeant Major (Abudefduf saxatilis), n.d."
"Coregonus","artedi","365","Meyers et al., 2015","365","Meyers et al., 2015","Y","10-100","E. M. George et al., 2018;Oyadomari & Auer, 2008;Meyers et al., 2015",NA,NA,"57","Froese & Pauly, 2000","29.3","Froese & Pauly, 2000","29.3","Froese & Pauly, 2000","Y","","","migratory","IUCN, 2020","winter(including Nov and Dec)",NA,"Meyers et al., 2015;Morin et al., 1981","unk","","Nikki","4745","Meyers et al., 2015"
"Coregonus","clupeaformis","365","NatureServe, 2020","365","NatureServe, 2020","Y","10-100","Ebener & Copes, 1985;Meyers et al., 2015",NA,NA,"100","Froese & Pauly, 2000","54.1","Froese & Pauly, 2000","54.1","Froese & Pauly, 2000","Y","","","non-migratory","NatureServe, 2020",NA,NA,"","32.55","O. H. Smith & Van Oosten, 1940;Rennie et al., 2012","Nikki","18250","Meyers et al., 2015"
"Oncorhynchus","mykiss","1095","Froese & Pauly, 2000","730","Froese & Pauly, 2000","","0-1","Bridger et al., 2001;NatureServe, 2020",NA,NA,"122","Froese & Pauly, 2000","60","Froese & Pauly, 2000","60","Froese & Pauly, 2000","Y","","","migratory","NatureServe, 2020","spring","spring","NatureServe, 2020","0.005-0.135","Blanchfield et al., 2009","Nikki","4015","Froese & Pauly, 2000;NatureServe, 2020"
"Salmo","trutta","1095","Froese & Pauly, 2000","1095","Froese & Pauly, 2000","","10-100","Jensen et al., 2015;Berg & Berg, 1987",NA,NA,"140","Froese & Pauly, 2000","72","Froese & Pauly, 2000","72","Froese & Pauly, 2000","Y","","","migratory","IUCN, 2020","May-October",NA,"Saraniemi et al., 2008;IUCN, 2020","0.00009","Bridcut & Giller, 1993","Nikki","13870","NatureServe, 2020"
"Thymallus","arcticus","1095","NatureServe, 2020","1095","NatureServe, 2020","Y","1-10","Buzby & Deegan, 2000;Meyers et al., 2015",NA,NA,"76","Froese & Pauly, 2000","34.3","Froese & Pauly, 2000","34.3","Froese & Pauly, 2000","Y","","","migratory","IUCN, 2020","April-Aug/Sept","April-Aug/Sept","“Arctic grayling,” n.d.;Meyers et al., 2015;IUCN, 2020","0.05-0.071","Nykänen et al., 2004","Nikki","6570","Froese & Pauly, 2000;NatureServe, 2020"
"Scatophagus","argus","365","Gupta, 2016","365","Gupta, 2016","Y","1-10","Cai et al., 2010",NA,NA,"38","Froese & Pauly, 2000","20","Froese & Pauly, 2000","20","Froese & Pauly, 2000","Y","","","non-migratory","Wongchinawit & Paphavasit, 2009",NA,NA,"","unk","","Nikki","4380","Green Scat (Scatophagus argus), n.d."
"Aplodinotus","grunniens","730","NatureServe, 2020","730","NatureServe, 2020","","1-10","NatureServe, 2020;Meyers et al., 2015",NA,NA,"95","Froese & Pauly, 2000","45","Froese & Pauly, 2000","45","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","4745","Froese & Pauly, 2000;NatureServe, 2020"
"Diplodus","vulgaris","730","IUCN, 2020","730","IUCN, 2020","Y","1-10","Jug-Dujaković & Glamuzina, 1988",NA,NA,"45","Froese & Pauly, 2000","22","Froese & Pauly, 2000","22","Froese & Pauly, 2000","Y","","","non-migratory","Gonçalves & Erzini, 2000;Abecasis et al., 2009",NA,NA,"","0.023786-0.042134","Abecasis et al., 2009","Nikki","7300","IUCN, 2020"
"Terapon","jarbua","2555","Fortaleza et al., 2019","2372.5","Fortaleza et al., 2019","","10-100","Liu et al., 2015",NA,NA,"36","Froese & Pauly, 2000","25","Froese & Pauly, 2000","25","Froese & Pauly, 2000","Y","","","unk","",NA,NA,"","unk","","Nikki","3650","Targetfish (Terapon jarbua), n.d."
"Sphoeroides","annulatus","unk","","unk","","","unk","",NA,NA,"44","Froese & Pauly, 2000","18","Froese & Pauly, 2000","18","Froese & Pauly, 2000","Y","","","unk","",NA,NA,"","unk","","Nikki","5475","Bullseye Puffer (Sphoeroides annulatus), n.d."
"Retropinna","retropinna","365","IUCN, 2020;McDowall & Whitaker, 1975","365","IUCN, 2020;McDowall & Whitaker, 1975","Y","1-10","C. J. McDowall, 2016",NA,NA,"8.6","Froese & Pauly, 2000","","","","","","","","migratory","IUCN, 2020",NA,NA,"","unk","","Jenn/Nikki","1460","IUCN, 2020"
"Gasterosteus","aculeatus","365","IUCN, 2020","365","IUCN, 2020","Y","0-1","Ward et al., 2013;Saimoto, 1993;E. B. Taylor & McPhail, 1986",NA,NA,"11","Froese & Pauly, 2000","5.1","Froese & Pauly, 2000","5.1","Froese & Pauly, 2000","Y","","","migratory","IUCN, 2020","March-April","March-April","","unk","","Jenn/Nikki","2920","Froese & Pauly, 2000"
"Zoarces","viviparus","365","Froese & Pauly, 2000","unk","","","10-100","Bergek et al., 2012;Simonsen & Strand, 2010",NA,NA,"52","Froese & Pauly, 2000","30","Froese & Pauly, 2000","30","Froese & Pauly, 2000","Y","","","non-migratory","Simonsen & Strand, 2010",NA,NA,"","10-100km","Simonsen & Strand, 2010","Jenn/Nikki","5110","IUCN, 2020"
"Oncorhynchus","clarkii","1095","De Magalhães & Costa, 2009","1095","De Magalhães & Costa, 2009","","1-10","Losee et al., 2018",NA,NA,"99","Froese & Pauly, 2000","","","","","","","","migratory","Crocker, 1995","July-September",NA,"Crocker, 1995","15","Cutthroat trout, n.d.;Losee et al., 2018","Joanne/Jenn","2920","Meyers et al., 2015;Froese & Pauly, 2000"
"Anaxyrus","boreas","1460","Oliveira et al., 2017","1460","Oliveira et al., 2017","Y","1-10","Wind & Dupuis, 2002",NA,NA,"12.5","Oliveira et al., 2017","","","","","","winter","AmphibiaWeb, 2020","non-migratory","",NA,NA,"","0.043558-0.046185","Wind & Dupuis, 2002","Nikki","4197.5","Oliveira et al., 2017"
"Anaxyrus","cognatus","730","Oliveira et al., 2017","730","Oliveira et al., 2017","Y","1-10","AmphibiaWeb, 2020",NA,NA,"11.4","Oliveira et al., 2017","","","","","","winter","AmphibiaWeb, 2020","non-migratory","",NA,NA,"","1.19","AmphibiaWeb, 2020","Nikki","3890","AmphibiaWeb, 2020;Oliveira et al., 2017"
"Anaxyrus","woodhousii","730","Oliveira et al., 2017","730","Oliveira et al., 2017","Y","0-1","NatureServe, 2020;AmphibiaWeb, 2020",NA,NA,"12.7","Oliveira et al., 2017","","","","","","winter","NatureServe, 2020","non-migratory","",NA,NA,"","kunk","AmphibiaWeb, 2020","Nikki","2920","Oliveira et al., 2017"
"Ascaphus","truei","730","Oliveira et al., 2017","730","Oliveira et al., 2017","Y","0-1","AmphibiaWeb, 2020",NA,NA,"5","Oliveira et al., 2017","","","","","","none","Meyers et al., 2015","non-migratory","",NA,NA,"","0.00031416","AmphibiaWeb, 2020","Nikki","5110","AmphibiaWeb, 2020"
"Buergeria","japonica","1095","Lue & Liou, 2010","730","Lue & Liou, 2010","","0-1","Haramura, 2011",NA,NA,"3.7","Oliveira et al., 2017","3.5","Y. H. Chang et al., 2017","2.5","Y. H. Chang et al., 2017","","","","non-migratory","",NA,NA,"","unk","","Nikki","2190","Lue & Liou, 2010"
"Crinia","parainsignifera","unk","","unk","","","0-1","Bishop-Taylor et al., 2015",NA,NA,"2","Oliveira et al., 2017","","","","","","none","Wassens et al., 2013;Chambers, 2008","non-migratory","",NA,NA,"","unk","","Micky/Nikki","unk",""
"Crinia","parinsignifera","unk","","unk","","","0-1","Bishop-Taylor et al., 2015",NA,NA,"2","Oliveira et al., 2017","","","","","","none","Wassens et al., 2013;Chambers, 2008","non-migratory","",NA,NA,"","unk","","Micky/Nikki","unk",""
"Crinia","signifera","1095","Lauck, 2005a","730","Lauck, 2005a","","0-1","Lauck, 2005b",NA,NA,"3","S. Baker & Lauck, 2006","3.0"," S. Baker & Lauck, 2006","2.5","S. Baker & Lauck, 2006","","none","S. Baker & Lauck, 2006","non-migratory","",NA,NA,"","unk","","Micky/Nikki","2555","Lauck, 2005b"
"Geocrinia","victoriana","unk","","unk","","","unk","",NA,NA,"3.5","Oliveira et al., 2017","","","","","","","","non-migratory","",NA,NA,"","unk","","Nikki","unk",""
"Ranoidea","brevipes","730","https://web.archive.org/web/20061002035356/http://www.frogsaustralia.net.au/frogs/display.cfm?frog_id=119","unk","","","unk","",NA,NA,"4.5","https://web.archive.org/web/20061002035356/http://www.frogsaustralia.net.au/frogs/display.cfm?frog_id=119","","","","","","hot dry","Short-footed frog, n.d.","non-migratory","",NA,NA,"","unk","","ALH","unk",""
"Desmognathus","fuscus","1095","AmphibiaWeb, 2020","730","AmphibiaWeb, 2020","","0-1","Barthalmus & Bellis, 1972;AmphibiaWeb, 2020",NA,NA,"14.2","Oliveira et al., 2017;R. L. Jones, 1986","8.6","Meyers et al., 2015","9.4","Meyers et al., 2015","","none","AmphibiaWeb, 2020","non-migratory","",NA,NA,"","0.0000014-0.000114","Meyers et al., 2015","Micky/Ilona/Nikki","1569.5","Oliveira et al., 2017"
"Desmognathus","monticola","1642","De Magalhães & Costa, 2009","1277","De Magalhães & Costa, 2009","","unk","",NA,NA,"8","AmphibiaWeb, 2020","","","","","","kunk","AmphibiaWeb, 2020","non-migratory","",NA,NA,"","0.00000007-0.0000084","AmphibiaWeb, 2020","Nikki","4015","AmphibiaWeb, 2020"
"Desmognathus","ochrophaeus","730","Oliveira et al., 2017","730","Oliveira et al., 2017","Y","0-1","AmphibiaWeb, 2020",NA,NA,"9.05","Oliveira et al., 2017","","","","","","Oct - Mar","AmphibiaWeb, 2020","non-migratory","",NA,NA,"","0.000001","AmphibiaWeb, 2020","Ilona/Nikki","7300","Oliveira et al., 2017"
"Desmognathus","quadramaculatus","2190","Oliveira et al., 2017","2190","Oliveira et al., 2017","Y","0-1","Cecala & Maerz, 2015",NA,NA,"21","Oliveira et al., 2017","","","","","","kunk","AmphibiaWeb, 2020","non-migratory","",NA,NA,"","0.00117","Camp & Lee, 1996","Ilona/Nikki","5475","Oliveira et al., 2017"
"Eleutherodactylus","coqui","365","Oliveira et al., 2017","365","Oliveira et al., 2017","Y","0-1","Höbel, 2008",NA,NA,"5.2","Oliveira et al., 2017","","","","","","winter","Beachy et al., 2011","non-migratory","",NA,NA,"","0.0000785","AmphibiaWeb, 2020","Micky/Nikki","2190","AmphibiaWeb, 2020;Oliveira et al., 2017"
"Eleutherodactylus","portoricensis","unk","","unk","","","0-1","Longo & Burrowes, 2010",NA,NA,"4.2","Oliveira et al., 2017","3.78","AmphibiaWeb, 2020","3.22","AmphibiaWeb, 2020","","none","Mowbray, n.d.-a","non-migratory","",NA,NA,"","unk","","Nikki","unk",""
"Eurycea","bislineata","1095","Oliveira et al., 2017","1095","Oliveira et al., 2017","Y","0-1","J. E. Johnson & Goldberg, 1975",NA,NA,"12.3","Oliveira et al., 2017","","","","","","winter","Meyers et al., 2015;Ashton & Ashton, 1978","non-migratory","",NA,NA,"","0.000014","Ashton & Ashton, 1978","Micky/Ilona/Nikki","kunk","Caudata - Max Longevity, n.d."
"Eurycea","longicauda","365","Oliveira et al., 2017","365","Oliveira et al., 2017","Y","0-1","Mohr, 1944",NA,NA,"20","Oliveira et al., 2017","","","","","","kunk","AmphibiaWeb, 2020","non-migratory","",NA,NA,"","<1km","Meyers et al., 2015","Micky/Ilona/Nikki","3650","Caudata - Max Longevity, n.d.;Meyers et al., 2015"
"Eurycea","lucifuga","1095","De Magalhães & Costa, 2009","1095","De Magalhães & Costa, 2009","Y","0-1","Hutchison, 1958",NA,NA,"20","Oliveira et al., 2017;D. E. Scott & Petranka, 1999","","","","","","none","AmphibiaWeb, 2020","non-migratory","",NA,NA,"","kunk","AmphibiaWeb, 2020","Micky/Ilona/Nikki","3321.5","Oliveira et al., 2017"
"Hyla","alpina","unk","","unk","","","unk","",NA,NA,"4","“Litoria verreauxi,” 2020","","","","","","","","non-migratory","",NA,NA,"","unk","","Micky","unk",""
"Ranoidea","aurea","182.5","Oliveira et al., 2017","182.5","Oliveira et al., 2017","Y","1-10","A. W. White & Pyke, 2008",NA,NA,"9.39","Oliveira et al., 2017","","","","","","none","Green and golden bell frog, n.d.;Department of Environment and Conservation NSW, 2005","non-migratory","",NA,NA,"","unk","","Nikki","3650","Oliveira et al., 2017"
"Ranoidea","caerulea","730","Meyers et al., 2015","730","Meyers et al., 2015","Y","0-1","Ocock et al., 2014",NA,NA,"10","Oliveira et al., 2017","","","","","","dry","Meyers et al., 2015","non-migratory","",NA,NA,"","0.000207-0.001956","Ocock et al., 2014","Nikki","7300","Oliveira et al., 2017"
"Ranoidea","chloris","1095","Oliveira et al., 2017","1095","Oliveira et al., 2017","Y","unk","",NA,NA,"7","Oliveira et al., 2017","","","","","","","","non-migratory","",NA,NA,"","unk","","Nikki","2190","Oliveira et al., 2017"
"Litoria","ewingii","unk","","unk","","","0-1","Kearney et al., 2015",NA,NA,"5","Oliveira et al., 2017","","","","","","winter","Bazin et al., 2007","non-migratory","",NA,NA,"","unk","","Nikki","unk",""
"Litoria","fallax","unk","","365","Upton et al., 2018","","0-1","Stockwell et al., 2015;Simkins et al., 2011",NA,NA,"3","Eastern dwarf tree frog, n.d.","","","","","","none","Dziminski & Alford, 2005","non-migratory","",NA,NA,"","unk","","Nikki","unk",""
"Ranoidea","gracilenta","unk","","unk","","Y","unk","",NA,NA,"5","Vanderduys, 2019","","","","","","none","Dziminski & Alford, 2005","non-migratory","",NA,NA,"","unk","","Micky/Nikki","unk",""
"Ranoidea","lesueurii","730","Oliveira et al., 2017","730","Oliveira et al., 2017","Y","0-1","Rowley & Alford, 2007",NA,NA,"7","Oliveira et al., 2017","","","","","","","","non-migratory","",NA,NA,"","unk","","Nikki","2555","Oliveira et al., 2017"
"Litoria","peronii","unk","","unk","","","0-1","IUCN, 2020;Parris, 2006",NA,NA,"5.57","Oliveira et al., 2017","","","","","","none","Withers & Hillman, 2001","non-migratory","",NA,NA,"","unk","","Nikki","unk",""
"Ranoidea","phyllochroa","unk","","unk","","","unk","",NA,NA,"4","Oliveira et al., 2017","","","","","","","","non-migratory","",NA,NA,"","unk","","Nikki","unk",""
"Litoria","rothii","unk","","unk","","Y","0-1","Department of the Environment, 2020",NA,NA,"5.5","Oliveira et al., 2017","","","","","","none","Dziminski & Alford, 2005","non-migratory","",NA,NA,"","unk","","Nikki","unk",""
"Litoria","rubella","365","Wassens & Maher, 2011","365","Wassens & Maher, 2011","Y","unk","",NA,NA,"3.5","Oliveira et al., 2017","","","","","","none","Dziminski & Alford, 2005;AmphibiaWeb, 2020","non-migratory","",NA,NA,"","unk","","Nikki","unk",""
"Dryophytes","versicolor","730","De Magalhães & Costa, 2009","730","De Magalhães & Costa, 2009","","0-1","AmphibiaWeb, 2020",NA,NA,"6","Meyers et al., 2015","","","","","","winter ","Meyers et al., 2015","non-migratory","",NA,NA,"","0.049","Roble, 1979","Nikki","2825","AmphibiaWeb, 2020"
"Hyperolius","viridiflavus","120","Meyers et al., 2015","120","Meyers et al., 2015","Y","unk","",NA,NA,"3.4","Oliveira et al., 2017","","","","","","dry","Meyers et al., 2015","non-migratory","",NA,NA,"","kunk","Meyers et al., 2015","Nikki","365","Meyers et al., 2015"
"Limnodynastes","dorsalis","730","https://web.archive.org/web/20080719222308/http://frogsaustralia.net.au/frogs/display.cfm?frog_id=35","unk","","","unk","",NA,NA,"7.3","Oliveira et al., 2017","","","","","","hot","IUCN, 2020","non-migratory","",NA,NA,"","unk","","ALH/Nikki","unk",""
"Limnodynastes","peroni","unk","","unk","","","0-1","Parris, 2006",NA,NA,"7.28","Oliveira et al., 2017","6.5","Meyers et al., 2015","6.5","Meyers et al., 2015","","","","non-migratory","",NA,NA,"","unk","","Nikki","unk",""
"Limnodynastes","peronii","unk","","unk","","","0-1","Parris, 2006",NA,NA,"7.28","Oliveira et al., 2017","6.5","Meyers et al., 2015","6.5","Meyers et al., 2015","","","","non-migratory","",NA,NA,"","unk","","Nikki","unk",""
"Limnodynastes","salmini","unk","","unk","","","unk","",NA,NA,"7.5","Oliveira et al., 2017","","","","","","dry","Ocock, 2018;Tyler & Knight, 2020","non-migratory","",NA,NA,"","unk","","Nikki","unk",""
"Limnodynastes","tasmaniensis","91.25","Oliveira et al., 2017","91.25","Oliveira et al., 2017","Y","0-1","Wilson et al., 2013",NA,NA,"5.05","Oliveira et al., 2017","","","","","","none","Schell, 2002","non-migratory","",NA,NA,"","unk","","Nikki","2190","Schell, 2002"
"Lithobates","berlandieri","1095","Meyers et al., 2015","1095","Meyers et al., 2015","Y","1-10","AmphibiaWeb, 2020",NA,NA,"12","Oliveira et al., 2017","","","","","","winter","AmphibiaWeb, 2020","non-migratory","",NA,NA,"","kunk","Meyers et al., 2015;AmphibiaWeb, 2020","Nikki","kunk","Meyers et al., 2015;AmphibiaWeb, 2020"
"Lithobates","catesbeiana","365","Oliveira et al., 2017","365","Oliveira et al., 2017","Y","1-10","Gahl et al., 2009",NA,NA,"20.3","Oliveira et al., 2017","16.2","AmphibiaWeb, 2020","15.2","AmphibiaWeb, 2020","","winter","Meyers et al., 2015","non-migratory","",NA,NA,"","0.00196","Meyers et al., 2015","Nikki","5840","Oliveira et al., 2017;Meyers et al., 2015"
"Lithobates","pipiens","365","Oliveira et al., 2017","365","Oliveira et al., 2017","Y","0-1","",NA,NA,"16.5","Oliveira et al., 2017","","","","","","winter","Herbert 2002","non-migratory","",NA,NA,"","0.000348-0.001347","Blomquist & Hunter, 2009;Herbert 2002","Micky/Nikki","3285","Herbert 2002;Oliveira et al., 2017"
"Lithobates","sylvaticus","365","Oliveira et al., 2017","365","Oliveira et al., 2017","Y","0-1","Furman et al., 2016",NA,NA,"8.3","Oliveira et al., 2017;Lithobates sylvaticus (LeConte, 1825) -- Wood Frog, n.d.","","","","","","winter","Meyers et al., 2015","non-migratory","",NA,NA,"","0.0000836","Meyers et al., 2015","Micky/Nikki","1898","Oliveira et al., 2017"
"Ranoidea","australis","unk","","unk","","","unk","",NA,NA,"10","Oliveira et al., 2017","","","","","","","","non-migratory","",NA,NA,"","unk","","Nikki","unk",""
"Litoria","bicolor","unk","","unk","","","unk","",NA,NA,"3","Oliveira et al., 2017","","","","","","none","Dziminski & Alford, 2005","non-migratory","",NA,NA,"","unk","","Nikki","unk",""
"Litoria","freycineti","unk","","unk","","","unk","",NA,NA,"4.9","Oliveira et al., 2017","","","","","","","","non-migratory","",NA,NA,"","unk","","Nikki","unk",""
"Litoria","nasuta","unk","","unk","","","1-10","Tyler & Doughty, 2009",NA,NA,"0.82","Tyler & Doughty, 2009","0.36-0.55","Tyler & Doughty, 2009","0.33-0.44","Tyler & Doughty, 2009","","none","Roberts & Edwards, 2018","non-migratory","",NA,NA,"","unk","","Nikki","unk",""
"Litoria","verreauxii","730","Brannelly et al., 2016","730","Brannelly et al., 2016","Y","0-1","Parris, 2006",NA,NA,"3","Oliveira et al., 2017","","","","","","none","IUCN, 2020","non-migratory","",NA,NA,"","unk","","Nikki","2555","Scheele et al., 2019"
"Melanophryniscus","rubriventris","unk","","","","","1-10","Vaira, 2005",NA,NA,"4.5","Oliveira et al., 2017","4.018","Bidau et al., 2011","3.735","Bidau et al., 2011","","","","non-migratory","",NA,NA,"","unk","","Nikki","unk",""
"Mixophyes","fasciolatus","1241","Oliveira et al., 2017","1241","Oliveira et al., 2017","Y","0-1","Schwenke, 2016",NA,NA,"9.7","Oliveira et al., 2017","","","","","","none","Parris, 2002","non-migratory","",NA,NA,"","0.001621-0.006063","Schwenke, 2016","Nikki","1934.5","Oliveira et al., 2017"
"Necturus","maculosus","1825","Oliveira et al., 2017;De Magalhães & Costa, 2009","1825","De Magalhães & Costa, 2009","","0-1","Smith & Green, 2005",NA,NA,"48.6","Oliveira et al., 2017","","","","","","none","Meyers et al., 2015","non-migratory","",NA,NA,"","0.0001361","AmphibiaWeb, 2020","Ilona/Nikki","12410","Oliveira et al., 2017"
"Neobatrachus","pictus","unk","","unk","","","0-1","Carthew et al., 2009",NA,NA,"5","Oliveira et al., 2017","","","","","","summer/dry season","Lee & Mercer, 1967","non-migratory","",NA,NA,"","unk","","Nikki","unk",""
"Notophthalmus","viridescens","182.5","Oliveira et al., 2017","182.5","Oliveira et al., 2017","Y","0-1","Healy, 1975",NA,NA,"14","Oliveira et al., 2017","","","","","","winter+dry","Meyers et al., 2015;AmphibiaWeb, 2020","non-migratory","",NA,NA,"","0.00027","Healy, 1975","Nikki","9125","Oliveira et al., 2017;AmphibiaWeb, 2020"
"Odontophrynus","occidentalis","unk","","unk","","","unk","",NA,NA,"2.87","Oliveira et al., 2017","","","","","","","","non-migratory","",NA,NA,"","unk","","Nikki","unk",""
"Quasipaa","spinosa","unk","","unk","","","0-1","Chan et al., 2014",NA,NA,"12.8","Zheng & Liu, 2010","","","","","","","","non-migratory","",NA,NA,"","0-0.00152","Chan et al., 2014","Nikki","unk",""
"Plethodon","cinereus","365","Oliveira et al., 2017","365","Oliveira et al., 2017","Y","0-1","Ousterhout & Liebgold, 2010",NA,NA,"41.2","Oliveira et al., 2017","7.8","AmphibiaWeb, 2020","7.3","AmphibiaWeb, 2020","","none ","AmphibiaWeb, 2020","non-migratory","",NA,NA,"","0.000104","AmphibiaWeb, 2020","Nikki","9125","Oliveira et al., 2017"
"Plethodon","glutinosus","910","De Magalhães & Costa, 2009","730","Oliveira et al., 2017","","0-1","Wells & Wells, 1976",NA,NA,"6.5","Powders, 1973","","","","","","winter+dry","AmphibiaWeb, 2020;IUCN, 2020;NatureServe, 2020","non-migratory","",NA,NA,"","0.0000065-0.000014","Merchant, 1972","Micky/Ilona/Nikki","1825","AmphibiaWeb, 2020"
"Plethodon","jordani","1825","De Magalhães & Costa, 2009","1095","De Magalhães & Costa, 2009","","0-1","Smith & Green, 2005",NA,NA,"18.4","Oliveira et al., 2017","","","","","","winter","AmphibiaWeb, 2020","non-migratory","",NA,NA,"","0.0000028-0.0000115","Merchant, 1972","Nikki","7227","Oliveira et al., 2017"
"Pseudacris","crucifer","730","Oliveira et al., 2017","730","Oliveira et al., 2017","Y","0-1","Meyers et al., 2015",NA,NA,"3.7","Oliveira et al., 2017","","","","","","winter","Meyers et al., 2015","non-migratory","",NA,NA,"","0.0000012-0.0000055","Meyers et al., 2015","Nikki","1825","Oliveira et al., 2017"
"Pseudacris","regilla","365","Oliveira et al., 2017","365","Oliveira et al., 2017","Y","1-10","Jameson, 1957",NA,NA,"5","Oliveira et al., 2017","","","","","","winter","Yeabsley, 2012;Jameson, 1957","non-migratory","",NA,NA,"","0.13","Jameson, 1957","Nikki","1095","Pacific Treefrog: Pseudacris regilla, n.d."
"Pseudacris","triseriata","120","COSEWIC, 2008","120","COSEWIC, 2008","Y","0-1","Kramer, 1973;COSEWIC, 2008",NA,NA,"3.9","Oliveira et al., 2017","2.56","COSEWIC, 2008","2.47","COSEWIC, 2008","Y","winter","COSEWIC, 2008","non-migratory","",NA,NA,"","0.000641-0.006024","COSEWIC, 2008","Micky/Nikki","1825","Meyers et al., 2015"
"Pseudophryne","bibroni","unk","","unk","","","0-1","Barton, 1981",NA,NA,"3.6","Oliveira et al., 2017","","","","","","winter","Woodruff, 1977","non-migratory","",NA,NA,"","0.00230688","Woodruff, 1977","Nikki","2190","Woodruff, 1977"
